id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1501003817483128833,1501003817483128833,2022-03-07 22:16:12 -03,2022-03-07,22:16:12,-0300,169735800,rscianni,Rafael Almeida ☘️🍺 🇺🇦,,Bem como o Presidente @ZelenskyyUa o Embaixador Ucraniano deve ser exaltado pela sua atuação.,pt,"[{'screen_name': 'zelenskyyua', 'name': 'володимир зеленський', 'id': '1120633726478823425'}]",[],[],0,0,0,[],[],https://twitter.com/rscianni/status/1501003817483128833,False,https://twitter.com/Metropoles/status/1500967393996296193,0,,,,,,,,[],,,,
1500997365070798856,1500472014452273157,2022-03-07 21:50:33 -03,2022-03-07,21:50:33,-0300,96233971,dorisfpaim,Carmen Dóris Paim,,"@ZelenskyyUa Paz para a Ucrânia!Paz para o mundo!🙏 Brasil em oração, pelo fim do ataque da Rússia contra a Ucrânia.",pt,[],[],[],0,0,0,[],[],https://twitter.com/dorisfpaim/status/1500997365070798856,False,,0,,,,,,,,"[{'screen_name': 'ZelenskyyUa', 'name': 'Володимир Зеленський', 'id': '1120633726478823425'}]",,,,
1500994136459161600,1500857331881545728,2022-03-07 21:37:43 -03,2022-03-07,21:37:43,-0300,1500990695615741953,ricardozome,ricardo oliveira,,@ZelenskyyUa @GitanasNauseda Um Herói. Obrigado Ucrânia. Glória há Ucrânia,pt,[],[],[],0,0,0,[],[],https://twitter.com/ricardozome/status/1500994136459161600,False,,0,,,,,,,,"[{'screen_name': 'ZelenskyyUa', 'name': 'Володимир Зеленський', 'id': '1120633726478823425'}, {'screen_name': 'GitanasNauseda', 'name': 'Gitanas Nausėda', 'id': '1067849967811944448'}]",,,,
1500991981840998405,1500938570097385472,2022-03-07 21:29:10 -03,2022-03-07,21:29:10,-0300,195486871,maroildo,Maroildo Oliveira,,@Henriqsve @ElieteCabral7 @taoquei1 @jairbolsonaro @KremlinRussia_E @ZelenskyyUa Vc sabia que Zelenski  ao assumir destituiu o Congresso e desarmou toda a população? Essa mesma população que ora ele coloca uma arma nas mãos?,pt,[],[],[],0,0,2,[],[],https://twitter.com/Maroildo/status/1500991981840998405,False,,0,,,,,,,,"[{'screen_name': 'Henriqsve', 'name': 'Henrique Sommer Vianna', 'id': '1481435002151841794'}, {'screen_name': 'ElieteCabral7', 'name': 'Eliete Cabral', 'id': '1190618975446720512'}, {'screen_name': 'taoquei1', 'name': 'TeAtualizei 🇧🇷👊🏻❤️', 'id': '1087259768'}, {'screen_name': 'jairbolsonaro', 'name': 'Jair M. Bolsonaro', 'id': '128372940'}, {'screen_name': 'KremlinRussia_E', 'name': 'President of Russia', 'id': '205622130'}, {'screen_name': 'ZelenskyyUa', 'name': 'Володимир Зеленський', 'id': '1120633726478823425'}]",,,,
1500990940919517193,1500990940919517193,2022-03-07 21:25:02 -03,2022-03-07,21:25:02,-0300,1497546070766804994,pedromo60177810,Pedro Moreira,,@ZelenskyyUa  digo-lhe isto porque todos menos você tão com medo que se juntem algumas potências sabe e o que tenho visto nisto tudo EUA disse a Polónia se quiser para dar os aviões que tem russos que daria f16 mas não percebo porque não intervém pois tão a massacrar ucranianos,pt,[],[],[],0,0,0,[],[],https://twitter.com/PedroMo60177810/status/1500990940919517193,False,,0,,,,,,,,[],,,,
1500990689735290891,1500990689735290891,2022-03-07 21:24:02 -03,2022-03-07,21:24:02,-0300,766323032,edsonsilveira45,edson silveira,,PARABÉNS @SergiyKyslytsya @ZelenskyyUa @Ukraine @Kyiv  https://t.co/tTnWNZzU7A,pt,"[{'screen_name': 'sergiykyslytsya', 'name': 'sergiy kyslytsya', 'id': '2392201764'}, {'screen_name': 'zelenskyyua', 'name': 'володимир зеленський', 'id': '1120633726478823425'}, {'screen_name': 'ukraine', 'name': 'ukraine / україна', 'id': '732521058507620356'}, {'screen_name': 'kyiv', 'name': 'kyiv. the city of courage', 'id': '1499831533414371342'}]",[],['https://pbs.twimg.com/media/FNSXE6zXwAUU5sl.jpg'],0,0,1,[],[],https://twitter.com/edsonsilveira45/status/1500990689735290891,False,https://twitter.com/SergiyKyslytsya/status/1500988513243828225,1,https://pbs.twimg.com/media/FNSXE6zXwAUU5sl.jpg,,,,,,,[],,,,
1500990466900299777,1500990466900299777,2022-03-07 21:23:09 -03,2022-03-07,21:23:09,-0300,703652740300480512,maltavisionario,MALTA O VISIONÁRIO,,"MUNDO TEM MEDO QUE PUTIN TEM BONBA ""A"" Querra trio de PUTIN Russia,Belarus,Chechenia  contra a UCRANIA, Putin covarde da as cartas pro mundo ninguem pode guerrea junto da Ucrania, Do lado de Putin pode mais 2 paises luta com os Russos.@ONU @OTAN @UE #OEA #MUNDO @ZelenskyyUa #G1",pt,"[{'screen_name': 'onu', 'name': '☭', 'id': '14261535'}, {'screen_name': 'otan', 'name': 'otan', 'id': '16516071'}, {'screen_name': 'ue', 'name': 'unearthed', 'id': '845553265'}, {'screen_name': 'zelenskyyua', 'name': 'володимир зеленський', 'id': '1120633726478823425'}]",[],[],0,0,0,"['oea', 'mundo', 'g1']",[],https://twitter.com/MaltaVisionario/status/1500990466900299777,False,,0,,,,,,,,[],,,,
1500987369654259714,1500760646987792391,2022-03-07 21:10:50 -03,2022-03-07,21:10:50,-0300,1424807329900400644,pauloce66703083,bR😈xinh🤭🥰🥂😴,,@Metropoles @ZelenskyyUa Postem isso.  https://t.co/aZD8Xb23mE,pt,[],[],[],1,0,1,[],[],https://twitter.com/PauloCe66703083/status/1500987369654259714,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1500987201873711111/pu/img/bwUsb5SKzfgNUhJO.jpg,,,,,,,"[{'screen_name': 'Metropoles', 'name': 'Metrópoles', 'id': '3331429624'}, {'screen_name': 'ZelenskyyUa', 'name': 'Володимир Зеленський', 'id': '1120633726478823425'}]",,,,
1500987034558681088,1500976434311012357,2022-03-07 21:09:30 -03,2022-03-07,21:09:30,-0300,1011822938063073281,biaesteves33,Núbia 🇧🇷💗🇺🇦,,@HernaniSouza @ZelenskyyUa Alguém precisa parar o psicopata!,pt,[],[],[],0,0,2,[],[],https://twitter.com/BiaEsteves33/status/1500987034558681088,False,,0,,,,,,,,"[{'screen_name': 'HernaniSouza', 'name': '🇺🇦Hernani', 'id': '71196101'}, {'screen_name': 'ZelenskyyUa', 'name': 'Володимир Зеленський', 'id': '1120633726478823425'}]",,,,
1500986184625016835,1500857331881545728,2022-03-07 21:06:08 -03,2022-03-07,21:06:08,-0300,322397512,julianebragamen,juliane Braga Mendes,,"@ZelenskyyUa @GitanasNauseda Força Ucrania ! Presidente Zelenski, o senhor já provou que é um homem de coragem! 🤜🤛🤝",pt,[],[],[],0,0,0,[],[],https://twitter.com/julianeBragaMen/status/1500986184625016835,False,,0,,,,,,,,"[{'screen_name': 'ZelenskyyUa', 'name': 'Володимир Зеленський', 'id': '1120633726478823425'}, {'screen_name': 'GitanasNauseda', 'name': 'Gitanas Nausėda', 'id': '1067849967811944448'}]",,,,
