Perfil Twitter,Mensagem de Erro,Análise Total,Análise Amigos,Análise Temporal,Análise Rede,Análise Sentimento,URL do Perfil,Avatar do Perfil,ID do Usuário,Nome do Usuário,Criação da conta,Seguindo,Seguidores,Número de Tweets,Hashtags Recentes,Menções Recentes,Usou Cache
mpgama,,9.91,,,,,,,,,,,,,,,
DrRSchneider,,9.91,,,,,,,,,,,,,,,
cansadodemimimi,,9.89,,,,,,,,,,,,,,,
FHRamiro,,9.88,,,,,,,,,,,,,,,
mhdcavalheiro,,9.78,,,,,,,,,,,,,,,
Flaviinhoow,,9.63,,,,,,,,,,,,,,,
BolinhaAlex25,,9.63,,,,,,,,,,,,,,,
joao_riker,,9.61,,,,,,,,,,,,,,,
borges_neider,,9.58,,,,,,,,,,,,,,,
Brazil_SP001,,9.56,,,,,,,,,,,,,,,
IzaCandeias,,9.55,,,,,,,,,,,,,,,
so_frente,,9.53,,,,,,,,,,,,,,,
Anabeatriz2938,,9.5,,,,,,,,,,,,,,,
gxmcdg,,9.43,,,,,,,,,,,,,,,
Waline77,,9.42,,,,,,,,,,,,,,,
Demtriumoscozo,,9.41,,,,,,,,,,,,,,,
CHMayresse,,9.39,,,,,,,,,,,,,,,
XandeGalo,,9.35,,,,,,,,,,,,,,,
faelalvss7,,9.29,,,,,,,,,,,,,,,
XandaoReturns2,,9.29,,,,,,,,,,,,,,,
jotaureliano,,9.22,,,,,,,,,,,,,,,
Levr66,,9.21,,,,,,,,,,,,,,,
j0a0bn,,9.2,,,,,,,,,,,,,,,
edso6n,,9.11,,,,,,,,,,,,,,,
95Jonatas,,9.06,,,,,,,,,,,,,,,
barreto_ismar,,89.98,,,,,,,,,,,,,,,
JoaoNet37325488,,89.98,,,,,,,,,,,,,,,
Solange68383406,,89.98,,,,,,,,,,,,,,,
Osmarsilva22,,89.98,,,,,,,,,,,,,,,
JuarezVargasJu1,,89.96,,,,,,,,,,,,,,,
sandro78849871,,89.96,,,,,,,,,,,,,,,
Ctba_Cap,,89.94,,,,,,,,,,,,,,,
edvanli50740890,,89.94,,,,,,,,,,,,,,,
Marcos_AFSilva,,89.93,,,,,,,,,,,,,,,
raylgue,,89.92,,,,,,,,,,,,,,,
Wagner_F_B,,89.92,,,,,,,,,,,,,,,
FSousa0007,,89.91,,,,,,,,,,,,,,,
rafaelfig38,,89.91,,,,,,,,,,,,,,,
regi_weiss2,,89.91,,,,,,,,,,,,,,,
Anamari80607460,,89.91,,,,,,,,,,,,,,,
MiguelB96515127,,89.9,,,,,,,,,,,,,,,
Aline_lfa,,89.9,,,,,,,,,,,,,,,
RicardoPester,,89.89,,,,,,,,,,,,,,,
fullenbach,,89.88,,,,,,,,,,,,,,,
AntnioM39677582,,89.88,,,,,,,,,,,,,,,
AndersonBarret,,89.88,,,,,,,,,,,,,,,
pjgobbo,,89.87,,,,,,,,,,,,,,,
jrmlopes1867,,89.87,,,,,,,,,,,,,,,
12111Alex,,89.87,,,,,,,,,,,,,,,
PaoDeQueijoBOT,,89.87,,,,,,,,,,,,,,,
Luciene2222,,89.87,,,,,,,,,,,,,,,
BRUNOLENZI23,,89.84,,,,,,,,,,,,,,,
ACarolina40,,89.84,,,,,,,,,,,,,,,
jeanebfs,,89.84,,,,,,,,,,,,,,,
LeneMendes22,,89.84,,,,,,,,,,,,,,,
marcosriofla,,89.84,,,,,,,,,,,,,,,
kukadorazio,,89.84,,,,,,,,,,,,,,,
jeanlima2222,,89.84,,,,,,,,,,,,,,,
Estela49788630,,89.83,,,,,,,,,,,,,,,
arildo_luz,,89.82,,,,,,,,,,,,,,,
AndreaB17791873,,89.81,,,,,,,,,,,,,,,
arcanjonjon1,,89.81,,,,,,,,,,,,,,,
Rogervendedor,,89.8,,,,,,,,,,,,,,,
AlzinxzW,,89.8,,,,,,,,,,,,,,,
MariaPa20988885,,89.8,,,,,,,,,,,,,,,
IzaiazQ,,89.8,,,,,,,,,,,,,,,
petacsh,,89.8,,,,,,,,,,,,,,,
DeGelka,,89.8,,,,,,,,,,,,,,,
Marinic27353090,,89.8,,,,,,,,,,,,,,,
cesarnooblath,,89.8,,,,,,,,,,,,,,,
MorenoJose0809,,89.79,,,,,,,,,,,,,,,
Gustavo15247510,,89.79,,,,,,,,,,,,,,,
Brasil_Livre,,89.78,,,,,,,,,,,,,,,
Jssica37835275,,89.78,,,,,,,,,,,,,,,
Rosemei53971359,,89.77,,,,,,,,,,,,,,,
cristiano_lana,,89.77,,,,,,,,,,,,,,,
Alec95515286,,89.76,,,,,,,,,,,,,,,
MrMello_22,,89.76,,,,,,,,,,,,,,,
estevesfae,,89.76,,,,,,,,,,,,,,,
Claudinho_oa,,89.76,,,,,,,,,,,,,,,
ALendaBolsonar0,,89.75,,,,,,,,,,,,,,,
Eduardo57405842,,89.75,,,,,,,,,,,,,,,
SimonSa94159897,,89.75,,,,,,,,,,,,,,,
Srgio18159040,,89.75,,,,,,,,,,,,,,,
yannicolasdeca1,,89.74,,,,,,,,,,,,,,,
Renato44209600,,89.74,,,,,,,,,,,,,,,
Osvaldo34833283,,89.74,,,,,,,,,,,,,,,
lcbenck,,89.73,,,,,,,,,,,,,,,
luizgrmandacaru,,89.73,,,,,,,,,,,,,,,
Eduardo66902662,,89.72,,,,,,,,,,,,,,,
frandadour,,89.72,,,,,,,,,,,,,,,
MariaLuciaGui12,,89.71,,,,,,,,,,,,,,,
Joseane16103992,,89.71,,,,,,,,,,,,,,,
PrRobsonAlencar,,89.71,,,,,,,,,,,,,,,
marciapira,,89.7,,,,,,,,,,,,,,,
heber_silvestre,,89.7,,,,,,,,,,,,,,,
PicinatoMaria22,,89.7,,,,,,,,,,,,,,,
VANDERLIMARINH2,,89.7,,,,,,,,,,,,,,,
PscheidtMauro,,89.7,,,,,,,,,,,,,,,
DaniloJesus2001,,89.7,,,,,,,,,,,,,,,
PauloRogrioPac3,,89.7,,,,,,,,,,,,,,,
HlioRosadasilv1,,89.7,,,,,,,,,,,,,,,
peronomas,,89.69,,,,,,,,,,,,,,,
LUNADDeus,,89.69,,,,,,,,,,,,,,,
RairLuca,,89.69,,,,,,,,,,,,,,,
IzabelBonaparte,,89.67,,,,,,,,,,,,,,,
isarlano,,89.66,,,,,,,,,,,,,,,
valdemarpaiva1,,89.66,,,,,,,,,,,,,,,
Schumann123J,,89.64,,,,,,,,,,,,,,,
sol_nfigueiredo,,89.64,,,,,,,,,,,,,,,
LeonidasBig,,89.64,,,,,,,,,,,,,,,
CostaCMariaS,,89.64,,,,,,,,,,,,,,,
AllanPonts,,89.64,,,,,,,,,,,,,,,
joaodasneves33,,89.64,,,,,,,,,,,,,,,
leomaraparecido,,89.64,,,,,,,,,,,,,,,
galloradical,,89.63,,,,,,,,,,,,,,,
nettoodt,,89.63,,,,,,,,,,,,,,,
CadoMBZ,,89.62,,,,,,,,,,,,,,,
intel_system,,89.6,,,,,,,,,,,,,,,
JosSilvaa8,,89.59,,,,,,,,,,,,,,,
Andreanovaera,,89.59,,,,,,,,,,,,,,,
juliomendesadv,,89.59,,,,,,,,,,,,,,,
luisccobalchini,,89.59,,,,,,,,,,,,,,,
DaniloV67241000,,89.57,,,,,,,,,,,,,,,
IsabelC76545718,,89.57,,,,,,,,,,,,,,,
Henriqu82991749,,89.57,,,,,,,,,,,,,,,
RochaSgt,,89.56,,,,,,,,,,,,,,,
HastenRosang,,89.56,,,,,,,,,,,,,,,
Daynnecris,,89.56,,,,,,,,,,,,,,,
sSasuke16,,89.56,,,,,,,,,,,,,,,
Carlos33866300,,89.56,,,,,,,,,,,,,,,
RogrioG79108167,,89.56,,,,,,,,,,,,,,,
anjo_ariano,,89.55,,,,,,,,,,,,,,,
Greice_OAlves,,89.55,,,,,,,,,,,,,,,
Nizio40537658,,89.55,,,,,,,,,,,,,,,
UlyssesGuedes,,89.55,,,,,,,,,,,,,,,
LeonorMoraes,,89.55,,,,,,,,,,,,,,,
piresgentefina,,89.55,,,,,,,,,,,,,,,
Ruy_Souza_Jr,,89.55,,,,,,,,,,,,,,,
francionejunior,,89.55,,,,,,,,,,,,,,,
catarinamais1,,89.55,,,,,,,,,,,,,,,
milanez_marcia,,89.54,,,,,,,,,,,,,,,
JonasFe69025431,,89.53,,,,,,,,,,,,,,,
Piaggio2318,,89.53,,,,,,,,,,,,,,,
JlioMac23103072,,89.52,,,,,,,,,,,,,,,
julucas_lucas,,89.52,,,,,,,,,,,,,,,
susin_l,,89.52,,,,,,,,,,,,,,,
Danieulima,,89.5,,,,,,,,,,,,,,,
Vicent_Oliver,,89.5,,,,,,,,,,,,,,,
JotaFloripa,,89.5,,,,,,,,,,,,,,,
JOGUIMA,,89.49,,,,,,,,,,,,,,,
Andre3w_3,,89.49,,,,,,,,,,,,,,,
KkgMarte,,89.49,,,,,,,,,,,,,,,
CinthiaMagal,,89.49,,,,,,,,,,,,,,,
stenioval,,89.49,,,,,,,,,,,,,,,
AngelaM46208864,,89.48,,,,,,,,,,,,,,,
AnaLuci64144187,,89.47,,,,,,,,,,,,,,,
eliveltonpds98,,89.47,,,,,,,,,,,,,,,
Rogerio_Bentox,,89.47,,,,,,,,,,,,,,,
arauujo1000,,89.46,,,,,,,,,,,,,,,
m_marclo,,89.45,,,,,,,,,,,,,,,
viniciusgalopes,,89.44,,,,,,,,,,,,,,,
JuJu92418145,,89.44,,,,,,,,,,,,,,,
DaviCor48621775,,89.42,,,,,,,,,,,,,,,
OliveiraPeter,,89.41,,,,,,,,,,,,,,,
Maluan52139885,,89.41,,,,,,,,,,,,,,,
mevangelista44,,89.41,,,,,,,,,,,,,,,
MariaXimeness,,89.41,,,,,,,,,,,,,,,
js87779462,,89.41,,,,,,,,,,,,,,,
stfcensurador,,89.39,,,,,,,,,,,,,,,
donizeti56,,89.39,,,,,,,,,,,,,,,
SelmaSoaresMar3,,89.39,,,,,,,,,,,,,,,
crissalles_42,,89.39,,,,,,,,,,,,,,,
RosanaMarceli17,,89.39,,,,,,,,,,,,,,,
JoseDelanheze,,89.39,,,,,,,,,,,,,,,
Margarida731,,89.38,,,,,,,,,,,,,,,
Gilomardebiten1,,89.38,,,,,,,,,,,,,,,
GUSTAVODRUAS,,89.36,,,,,,,,,,,,,,,
FPaggiaro,,89.36,,,,,,,,,,,,,,,
bal7patriota,,89.35,,,,,,,,,,,,,,,
Marcoguchi,,89.34,,,,,,,,,,,,,,,
paschoal_andre,,89.34,,,,,,,,,,,,,,,
TonSant35695332,,89.34,,,,,,,,,,,,,,,
Mulher_Patriota,,89.34,,,,,,,,,,,,,,,
LickfeldMirela,,89.34,,,,,,,,,,,,,,,
melita_marcia,,89.34,,,,,,,,,,,,,,,
marcia_menegas,,89.34,,,,,,,,,,,,,,,
BRsil_patriota,,89.34,,,,,,,,,,,,,,,
jclarindofpaula,,89.34,,,,,,,,,,,,,,,
NatanaelBSAlme1,,89.34,,,,,,,,,,,,,,,
AiltonSBritoo,,89.34,,,,,,,,,,,,,,,
AnaPaulabranqu4,,89.34,,,,,,,,,,,,,,,
walter_roxo,,89.34,,,,,,,,,,,,,,,
GidaltiAndolfa2,,89.34,,,,,,,,,,,,,,,
SandraMat_1,,89.34,,,,,,,,,,,,,,,
paulo_ceneviva,,89.34,,,,,,,,,,,,,,,
ManoelDorgival,,89.34,,,,,,,,,,,,,,,
makson_carlos,,89.34,,,,,,,,,,,,,,,
DIRCEULEITE00,,89.34,,,,,,,,,,,,,,,
BabyDecoration,,89.34,,,,,,,,,,,,,,,
djcruzramos74,,89.34,,,,,,,,,,,,,,,
RodrigoLamouni8,,89.34,,,,,,,,,,,,,,,
resende_maira,,89.34,,,,,,,,,,,,,,,
FranNunnes2010,,89.33,,,,,,,,,,,,,,,
Andykk2012,,89.33,,,,,,,,,,,,,,,
Ludmilaleal16,,89.33,,,,,,,,,,,,,,,
Maria76517831,,89.32,,,,,,,,,,,,,,,
StreetTed,,89.32,,,,,,,,,,,,,,,
CarlaPonciano10,,89.3,,,,,,,,,,,,,,,
Eduardo62579918,,89.3,,,,,,,,,,,,,,,
WeslleyWbraga,,89.28,,,,,,,,,,,,,,,
jota4wd,,89.27,,,,,,,,,,,,,,,
leopoldo_passos,,89.27,,,,,,,,,,,,,,,
millasatscor,,89.26,,,,,,,,,,,,,,,
bridi_darvi,,89.25,,,,,,,,,,,,,,,
Leandronf66,,89.25,,,,,,,,,,,,,,,
umsonolento,,89.24,,,,,,,,,,,,,,,
IlsaOliveira8,,89.24,,,,,,,,,,,,,,,
Lac1506,,89.24,,,,,,,,,,,,,,,
SandraB66639152,,89.24,,,,,,,,,,,,,,,
fvsantos,,89.24,,,,,,,,,,,,,,,
andreassq1,,89.24,,,,,,,,,,,,,,,
theorohlfs,,89.24,,,,,,,,,,,,,,,
WegdonP,,89.24,,,,,,,,,,,,,,,
JussaraGama3,,89.23,,,,,,,,,,,,,,,
MarcoAurliodaC,,89.22,,,,,,,,,,,,,,,
Zuquello1,,89.22,,,,,,,,,,,,,,,
NascimentoBibi,,89.21,,,,,,,,,,,,,,,
LY012022,,89.21,,,,,,,,,,,,,,,
regner_gabriela,,89.21,,,,,,,,,,,,,,,
mavericknewss,,89.21,,,,,,,,,,,,,,,
carlosv71217917,,89.21,,,,,,,,,,,,,,,
Marcelo002300,,89.21,,,,,,,,,,,,,,,
CardosoGeberson,,89.2,,,,,,,,,,,,,,,
Claudio73437110,,89.19,,,,,,,,,,,,,,,
luga52875033,,89.18,,,,,,,,,,,,,,,
RobertoPraduque,,89.18,,,,,,,,,,,,,,,
ArendAngela,,89.18,,,,,,,,,,,,,,,
eflain6,,89.17,,,,,,,,,,,,,,,
judsopeniel,,89.16,,,,,,,,,,,,,,,
c1_oliveira,,89.16,,,,,,,,,,,,,,,
RILDOSOUZA,,89.16,,,,,,,,,,,,,,,
zanetti_idalina,,89.14,,,,,,,,,,,,,,,
Fabiofvs197536,,89.14,,,,,,,,,,,,,,,
HarlleyRamos,,89.13,,,,,,,,,,,,,,,
WilsonCorreiaS3,,89.12,,,,,,,,,,,,,,,
LUCIANA36992301,,89.11,,,,,,,,,,,,,,,
leonard10095426,,89.11,,,,,,,,,,,,,,,
AndersonPeres7,,89.1,,,,,,,,,,,,,,,
JoseZeperez,,89.1,,,,,,,,,,,,,,,
DenisSi57095359,,89.1,,,,,,,,,,,,,,,
ehud47645284,,89.1,,,,,,,,,,,,,,,
Mzo_EmbreaGALO,,89.09,,,,,,,,,,,,,,,
Roberto49577626,,89.09,,,,,,,,,,,,,,,
Marcinha_Mazz,,89.09,,,,,,,,,,,,,,,
Mirandamito2026,,89.08,,,,,,,,,,,,,,,
EduardoLeses47,,89.08,,,,,,,,,,,,,,,
Jose53150278,,89.08,,,,,,,,,,,,,,,
CarlosJosPeres2,,89.07,,,,,,,,,,,,,,,
Emerson93697138,,89.06,,,,,,,,,,,,,,,
Ricardo60229183,,89.06,,,,,,,,,,,,,,,
CHoerlle,,89.05,,,,,,,,,,,,,,,
monicar17628994,,89.05,,,,,,,,,,,,,,,
leopoldomorgad1,,89.05,,,,,,,,,,,,,,,
Jussara68871016,,89.04,,,,,,,,,,,,,,,
willian43504928,,89.04,,,,,,,,,,,,,,,
Heloisa46008072,,89.03,,,,,,,,,,,,,,,
joaoleal01_joao,,89.02,,,,,,,,,,,,,,,
JoserobertoFS69,,89.01,,,,,,,,,,,,,,,
raffilsks,,88.99,,,,,,,,,,,,,,,
ChacalDren,,88.98,,,,,,,,,,,,,,,
joao_tacio,,88.98,,,,,,,,,,,,,,,
Aluamrj,,88.98,,,,,,,,,,,,,,,
gracionete,,88.98,,,,,,,,,,,,,,,
AndreaOMag,,88.98,,,,,,,,,,,,,,,
MariaLuizaPSNev,,88.97,,,,,,,,,,,,,,,
ElaineC78644919,,88.96,,,,,,,,,,,,,,,
rinaldovenancio,,88.96,,,,,,,,,,,,,,,
Paulo_R_Bridi,,88.96,,,,,,,,,,,,,,,
isaias00368801,,88.96,,,,,,,,,,,,,,,
excluidaRedBird,,88.95,,,,,,,,,,,,,,,
EduardoBrasuca,,88.95,,,,,,,,,,,,,,,
angelabesteves,,88.95,,,,,,,,,,,,,,,
Anderso09360540,,88.94,,,,,,,,,,,,,,,
cunhagonalves,,88.94,,,,,,,,,,,,,,,
julioce48468887,,88.94,,,,,,,,,,,,,,,
warleymaximian,,88.94,,,,,,,,,,,,,,,
magigcs1,,88.93,,,,,,,,,,,,,,,
PauloHe51189247,,88.92,,,,,,,,,,,,,,,
AlexandreGarBap,,88.91,,,,,,,,,,,,,,,
fcadirector,,88.9,,,,,,,,,,,,,,,
josielspryte,,88.9,,,,,,,,,,,,,,,
joaoweslleyq,,88.89,,,,,,,,,,,,,,,
AndraBrito12,,88.89,,,,,,,,,,,,,,,
pr_bolsonaro,,88.89,,,,,,,,,,,,,,,
williepassos,,88.88,,,,,,,,,,,,,,,
Davi66332567,,88.87,,,,,,,,,,,,,,,
olimpianovas,,88.85,,,,,,,,,,,,,,,
DanyelJonathan,,88.85,,,,,,,,,,,,,,,
Ricardomsjr,,88.83,,,,,,,,,,,,,,,
IKuosinski,,88.83,,,,,,,,,,,,,,,
krloskrneiro,,88.82,,,,,,,,,,,,,,,
Alex_PS22,,88.81,,,,,,,,,,,,,,,
ericoroliveira,,88.81,,,,,,,,,,,,,,,
DenckerVilmo,,88.8,,,,,,,,,,,,,,,
BPaulobrasil22,,88.8,,,,,,,,,,,,,,,
38Templario,,88.8,,,,,,,,,,,,,,,
Tina_Dine11,,88.79,,,,,,,,,,,,,,,
Dagober13637063,,88.78,,,,,,,,,,,,,,,
calil_c,,88.78,,,,,,,,,,,,,,,
AndreLo22202809,,88.78,,,,,,,,,,,,,,,
Fernandogtak,,88.77,,,,,,,,,,,,,,,
HelioAquino8,,88.77,,,,,,,,,,,,,,,
Elisjun,,88.76,,,,,,,,,,,,,,,
RosildesSantos,,88.76,,,,,,,,,,,,,,,
Paulo83543276,,88.75,,,,,,,,,,,,,,,
Rosngel44441483,,88.74,,,,,,,,,,,,,,,
ContadorInvest2,,88.74,,,,,,,,,,,,,,,
weninha5,,88.74,,,,,,,,,,,,,,,
Tenbmjefferson,,88.74,,,,,,,,,,,,,,,
osgonzagajr,,88.74,,,,,,,,,,,,,,,
JoanaAdriele,,88.73,,,,,,,,,,,,,,,
Josival94678402,,88.73,,,,,,,,,,,,,,,
arte_busca,,88.72,,,,,,,,,,,,,,,
fabiobelem7,,88.72,,,,,,,,,,,,,,,
CarlosS42018078,,88.72,,,,,,,,,,,,,,,
8gonista,,88.72,,,,,,,,,,,,,,,
joaopprosa85,,88.72,,,,,,,,,,,,,,,
mafelicite2,,88.71,,,,,,,,,,,,,,,
Paulo82919311,,88.7,,,,,,,,,,,,,,,
EmersonJuniorB6,,88.69,,,,,,,,,,,,,,,
Eduardo16446933,,88.69,,,,,,,,,,,,,,,
LgiaRogatti1,,88.68,,,,,,,,,,,,,,,
faustoicdc,,88.68,,,,,,,,,,,,,,,
RechRoger,,88.68,,,,,,,,,,,,,,,
CHINA_AZUL_MG,,88.68,,,,,,,,,,,,,,,
lucineianiro57,,88.67,,,,,,,,,,,,,,,
MacielSouzaRN,,88.66,,,,,,,,,,,,,,,
Sylvestre8805,,88.66,,,,,,,,,,,,,,,
AdemirFelix2022,,88.66,,,,,,,,,,,,,,,
belluccis,,88.65,,,,,,,,,,,,,,,
josecicerocalh3,,88.65,,,,,,,,,,,,,,,
BHOFLING,,88.65,,,,,,,,,,,,,,,
Hilario48949858,,88.65,,,,,,,,,,,,,,,
_Caphe,,88.64,,,,,,,,,,,,,,,
Rodrigo34175953,,88.61,,,,,,,,,,,,,,,
Rosanimarlifern,,88.61,,,,,,,,,,,,,,,
LuccasLdn18,,88.61,,,,,,,,,,,,,,,
EneasAlves11,,88.6,,,,,,,,,,,,,,,
KirchFelipe,,88.6,,,,,,,,,,,,,,,
NathaliaMayer5,,88.59,,,,,,,,,,,,,,,
carloscesp2602,,88.58,,,,,,,,,,,,,,,
clauderson12,,88.57,,,,,,,,,,,,,,,
prattestadeu,,88.57,,,,,,,,,,,,,,,
PaulinhoPJ58,,88.57,,,,,,,,,,,,,,,
AlexDom96018680,,88.57,,,,,,,,,,,,,,,
MariaElenaCile1,,88.56,,,,,,,,,,,,,,,
SMarcelloITBR,,88.56,,,,,,,,,,,,,,,
Juciarossi1,,88.56,,,,,,,,,,,,,,,
FatimaF46328259,,88.55,,,,,,,,,,,,,,,
dinhomcardozo,,88.54,,,,,,,,,,,,,,,
EdgarATadeu1,,88.54,,,,,,,,,,,,,,,
girlfac00212026,,88.53,,,,,,,,,,,,,,,
JosLuizMendes5,,88.53,,,,,,,,,,,,,,,
carlospedagogo1,,88.53,,,,,,,,,,,,,,,
Vanderl06795483,,88.53,,,,,,,,,,,,,,,
camargonline26,,88.53,,,,,,,,,,,,,,,
Lima07Ric,,88.53,,,,,,,,,,,,,,,
Lucia2Yellow,,88.53,,,,,,,,,,,,,,,
santosbdf,,88.52,,,,,,,,,,,,,,,
RomildaNascim14,,88.52,,,,,,,,,,,,,,,
BelzinhaMnop,,88.52,,,,,,,,,,,,,,,
luizhpaula61,,88.52,,,,,,,,,,,,,,,
VlamirTravassos,,88.51,,,,,,,,,,,,,,,
keka_moreno,,88.51,,,,,,,,,,,,,,,
ulissescastanha,,88.51,,,,,,,,,,,,,,,
Carlos46867607,,88.51,,,,,,,,,,,,,,,
GenecyTomaz,,88.5,,,,,,,,,,,,,,,
celso_sil12,,88.5,,,,,,,,,,,,,,,
ivan_aqui22,,88.5,,,,,,,,,,,,,,,
haddad08,,88.5,,,,,,,,,,,,,,,
EduardoNReis,,88.49,,,,,,,,,,,,,,,
Juliovascao98,,88.49,,,,,,,,,,,,,,,
Rose74244583,,88.49,,,,,,,,,,,,,,,
MariliaLoche,,88.49,,,,,,,,,,,,,,,
cleberglopes,,88.49,,,,,,,,,,,,,,,
RoneiHillman,,88.49,,,,,,,,,,,,,,,
Antoniosfilho4,,88.48,,,,,,,,,,,,,,,
DaniPaulistinha,,88.48,,,,,,,,,,,,,,,
jorro01,,88.46,,,,,,,,,,,,,,,
Ser_Colorado,,88.46,,,,,,,,,,,,,,,
EdcleoS,,88.46,,,,,,,,,,,,,,,
bezerra_taiz,,88.46,,,,,,,,,,,,,,,
HomeroCA10,,88.45,,,,,,,,,,,,,,,
Rogermax34,,88.45,,,,,,,,,,,,,,,
Edipacheco,,88.45,,,,,,,,,,,,,,,
Joseniakk,,88.45,,,,,,,,,,,,,,,
scm_patricia,,88.45,,,,,,,,,,,,,,,
guipoasantos,,88.45,,,,,,,,,,,,,,,
Tamih19,,88.45,,,,,,,,,,,,,,,
alda_augusto,,88.45,,,,,,,,,,,,,,,
PafDroa,,88.44,,,,,,,,,,,,,,,
Jaqueli42274460,,88.44,,,,,,,,,,,,,,,
bolsonaromenino,,88.44,,,,,,,,,,,,,,,
PiresMonsores,,88.44,,,,,,,,,,,,,,,
Vieirapatriota,,88.44,,,,,,,,,,,,,,,
Diogoda69467842,,88.43,,,,,,,,,,,,,,,
reginaveiga15,,88.42,,,,,,,,,,,,,,,
FernandoPelcio1,,88.41,,,,,,,,,,,,,,,
leobarretorj,,88.4,,,,,,,,,,,,,,,
Mccfava,,88.4,,,,,,,,,,,,,,,
BrunisBraha,,88.4,,,,,,,,,,,,,,,
DevaMenezes,,88.4,,,,,,,,,,,,,,,
drjuliovasc,,88.4,,,,,,,,,,,,,,,
YasminCouti,,88.4,,,,,,,,,,,,,,,
louco_frango,,88.4,,,,,,,,,,,,,,,
hertz_pina,,88.4,,,,,,,,,,,,,,,
GauchaRS22,,88.4,,,,,,,,,,,,,,,
cosendeyjr1,,88.4,,,,,,,,,,,,,,,
JSilvaHeroi,,88.4,,,,,,,,,,,,,,,
Olimpio68o,,88.4,,,,,,,,,,,,,,,
Manoelgis1,,88.4,,,,,,,,,,,,,,,
fabio_iyda,,88.4,,,,,,,,,,,,,,,
Oliveira10Alaba,,88.37,,,,,,,,,,,,,,,
MarcosV87436253,,88.36,,,,,,,,,,,,,,,
10Kamisa10,,88.36,,,,,,,,,,,,,,,
Bressayyla,,88.36,,,,,,,,,,,,,,,
EvaCruz24722085,,88.35,,,,,,,,,,,,,,,
AnadulceDe,,88.34,,,,,,,,,,,,,,,
Luiz40333592,,88.34,,,,,,,,,,,,,,,
Danielb07569626,,88.34,,,,,,,,,,,,,,,
sergeniocarai,,88.34,,,,,,,,,,,,,,,
Osmarneto68,,88.34,,,,,,,,,,,,,,,
ESOLCharcutaria,,88.34,,,,,,,,,,,,,,,
Lima72023680,,88.34,,,,,,,,,,,,,,,
Wilson11016702,,88.33,,,,,,,,,,,,,,,
Fernand81714426,,88.31,,,,,,,,,,,,,,,
Grasijc1,,88.29,,,,,,,,,,,,,,,
AlineGabiMel,,88.29,,,,,,,,,,,,,,,
Daniel38531975,,88.29,,,,,,,,,,,,,,,
Alves166007835,,88.28,,,,,,,,,,,,,,,
claufragomeni1,,88.28,,,,,,,,,,,,,,,
PeaoPorMaria,,88.28,,,,,,,,,,,,,,,
zannapipper,,88.27,,,,,,,,,,,,,,,
agnobete,,88.26,,,,,,,,,,,,,,,
MarcioFlamengu8,,88.26,,,,,,,,,,,,,,,
thamescoast,,88.24,,,,,,,,,,,,,,,
helder_milhome,,88.24,,,,,,,,,,,,,,,
paulorobrod1,,88.24,,,,,,,,,,,,,,,
ilis21970898,,88.24,,,,,,,,,,,,,,,
JoseRob11133700,,88.24,,,,,,,,,,,,,,,
Gildson222,,88.23,,,,,,,,,,,,,,,
roger_sato,,88.23,,,,,,,,,,,,,,,
joao_na_bad,,88.23,,,,,,,,,,,,,,,
MarizeAiex,,88.23,,,,,,,,,,,,,,,
monicabolsasr,,88.22,,,,,,,,,,,,,,,
IvanLim67761284,,88.22,,,,,,,,,,,,,,,
thiagomed82,,88.21,,,,,,,,,,,,,,,
Celia19214543,,88.2,,,,,,,,,,,,,,,
Schunckadv,,88.2,,,,,,,,,,,,,,,
Claudio99353619,,88.19,,,,,,,,,,,,,,,
gildeansousa1,,88.19,,,,,,,,,,,,,,,
Ricardo10815916,,88.19,,,,,,,,,,,,,,,
Edivaldoalvespv,,88.19,,,,,,,,,,,,,,,
Cilaine11,,88.19,,,,,,,,,,,,,,,
Regina_C_M_S,,88.19,,,,,,,,,,,,,,,
BrunoRonei2,,88.18,,,,,,,,,,,,,,,
sandrobrufatto,,88.18,,,,,,,,,,,,,,,
miriam_izu,,88.18,,,,,,,,,,,,,,,
MenezesNeccy,,88.18,,,,,,,,,,,,,,,
MSK182931,,88.18,,,,,,,,,,,,,,,
ednaldovas,,88.17,,,,,,,,,,,,,,,
Orlando34005679,,88.14,,,,,,,,,,,,,,,
direitavolverg1,,88.13,,,,,,,,,,,,,,,
Ghosttime_1109,,88.13,,,,,,,,,,,,,,,
ClaudioMICTMR,,88.13,,,,,,,,,,,,,,,
Orlandera1980,,88.13,,,,,,,,,,,,,,,
feefocoemcristo,,88.13,,,,,,,,,,,,,,,
Debora_ALP,,88.13,,,,,,,,,,,,,,,
beatriz95071593,,88.12,,,,,,,,,,,,,,,
Ricardo94206375,,88.12,,,,,,,,,,,,,,,
Edvaldo9876543,,88.12,,,,,,,,,,,,,,,
JosePaunksnis,,88.1,,,,,,,,,,,,,,,
fabiano_dolata,,88.09,,,,,,,,,,,,,,,
andrrod84206980,,88.08,,,,,,,,,,,,,,,
FabioVi58667026,,88.08,,,,,,,,,,,,,,,
ElisamaMF,,88.07,,,,,,,,,,,,,,,
massa_cristiane,,88.06,,,,,,,,,,,,,,,
MaraoBra,,88.06,,,,,,,,,,,,,,,
CarlosACasa,,88.05,,,,,,,,,,,,,,,
TIADOZAP8550222,,88.05,,,,,,,,,,,,,,,
320506Conta,,88.04,,,,,,,,,,,,,,,
