Perfil Twitter,Mensagem de Erro,Análise Total,Análise Amigos,Análise Temporal,Análise Rede,Análise Sentimento,URL do Perfil,Avatar do Perfil,ID do Usuário,Nome do Usuário,Criação da conta,Seguindo,Seguidores,Número de Tweets,Hashtags Recentes,Menções Recentes,Usou Cache
MAR6783325722,,98.03,,,,,,,,,,,,,,,
gilbertogallo11,,98.03,,,,,,,,,,,,,,,
Regina83367950,,98.03,,,,,,,,,,,,,,,
Patrick71527,,98.02,,,,,,,,,,,,,,,
cadeirabot,,98.01,,,,,,,,,,,,,,,
brothersall,,98.0,,,,,,,,,,,,,,,
Sergei11091961,,98.0,,,,,,,,,,,,,,,
Anderso36672334,,97.99,,,,,,,,,,,,,,,
Isaque45153048,,97.98,,,,,,,,,,,,,,,
Mocacompao,,97.97,,,,,,,,,,,,,,,
Antonio2015Jr12,,97.96,,,,,,,,,,,,,,,
CharlotteJustM,,97.96,,,,,,,,,,,,,,,
Herval72833336,,97.96,,,,,,,,,,,,,,,
Flags1996_04,,97.96,,,,,,,,,,,,,,,
Mauro42959435,,97.95,,,,,,,,,,,,,,,
JamesRo01533449,,97.91,,,,,,,,,,,,,,,
Airton54560629,,97.9,,,,,,,,,,,,,,,
AntonioClaretC1,,97.9,,,,,,,,,,,,,,,
Antnio71046659,,97.9,,,,,,,,,,,,,,,
Manfer59008629,,97.9,,,,,,,,,,,,,,,
William25385364,,97.9,,,,,,,,,,,,,,,
Lucimar29676583,,97.89,,,,,,,,,,,,,,,
OPaiTaOnOk,,97.89,,,,,,,,,,,,,,,
Nadja51352983,,97.87,,,,,,,,,,,,,,,
Sandram66367113,,97.86,,,,,,,,,,,,,,,
Carlyle26841322,,97.86,,,,,,,,,,,,,,,
JuniorrJR6,,97.86,,,,,,,,,,,,,,,
Hilma68946015,,97.85,,,,,,,,,,,,,,,
BronsonHard,,97.85,,,,,,,,,,,,,,,
RParquinho,,97.84,,,,,,,,,,,,,,,
LNickele,,97.84,,,,,,,,,,,,,,,
Jeanskull02,,97.83,,,,,,,,,,,,,,,
suspens44183669,,97.82,,,,,,,,,,,,,,,
Sergio5016,,97.81,,,,,,,,,,,,,,,
FRANCA70038,,97.8,,,,,,,,,,,,,,,
MouraF68315579,,97.79,,,,,,,,,,,,,,,
1500cabral,,97.79,,,,,,,,,,,,,,,
Andress36952420,,97.78,,,,,,,,,,,,,,,
Fabiana06321053,,97.77,,,,,,,,,,,,,,,
Emerson93983042,,97.77,,,,,,,,,,,,,,,
silvano21872931,,97.77,,,,,,,,,,,,,,,
fontes20341,,97.76,,,,,,,,,,,,,,,
Luciana49137490,,97.75,,,,,,,,,,,,,,,
BelemJameson,,97.75,,,,,,,,,,,,,,,
LaneMedeiross,,97.74,,,,,,,,,,,,,,,
ElacheElache,,97.74,,,,,,,,,,,,,,,
Gabriela0209200,,97.74,,,,,,,,,,,,,,,
JosValado1,,97.73,,,,,,,,,,,,,,,
GiliardSousa5,,97.72,,,,,,,,,,,,,,,
RebessiVeras,,97.72,,,,,,,,,,,,,,,
Censura94374125,,97.71,,,,,,,,,,,,,,,
Neimerjbr,,97.7,,,,,,,,,,,,,,,
portal_emas,,97.7,,,,,,,,,,,,,,,
lucia_persil,,97.7,,,,,,,,,,,,,,,
cleise05450306,,97.7,,,,,,,,,,,,,,,
LdomingosL,,97.7,,,,,,,,,,,,,,,
Mariaau07044228,,97.7,,,,,,,,,,,,,,,
AraujoMarcelo70,,97.69,,,,,,,,,,,,,,,
Washing84203182,,97.68,,,,,,,,,,,,,,,
Claudio86737835,,97.68,,,,,,,,,,,,,,,
LuizaMi39355691,,97.67,,,,,,,,,,,,,,,
